Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
A156_8935007117135,A156,"=""8935007117135""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG CHAI 473ML,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8935007117098,A156,"=""8935007117098""",LOTHAMILK - SỮA THANH TRÙNG CÓ ĐƯỜNG 857ML,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938505512211,A156,"=""8938505512211""",SENTA - KHOAI MÔN GỌT VỎ 400G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938509645076,A156,"=""8938509645076""",ZESPRI - HỘP KIWI XANH 4 QUẢ,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938541439817,A156,"=""8938541439817""",TÁO TÚI 1.5KG,Meat,Fix weight,6,3,3,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936176756019,A156,"=""8936176756019""",TNT - KHOAI LANG HẤP 240G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938505512204,A156,"=""8938505512204""",SENTA - KHOAI SỌ GỌT VỎ 400G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936204030586,A156,"=""8936204030586""",AN LẠC- ĐẬU TƯƠI HỖN HỢP 100G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_SP001575,A156,"=""SP001575""",BBANG HOUSE - BÁNH TIRAMISU 150G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936076271957,A156,"=""8936076271957""",SAVOURE - BÁNH ỐC KEM 70G,Meat,Fix weight,2,1,1,Đã tạo phiếu KFM (Lệch số lượng)
A156_8935360200086,A156,"=""8935360200086""",NHO XANH MỸ HỘP 450G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938500844027,A156,"=""8938500844027""",VỊ NGUYÊN - ĐẬU HŨ TA 280G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938508547562,A156,"=""8938508547562""",BIBIGO - KIM CHI CẢI THẢO CẮT LÁT 100G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936000750220,A156,"=""8936000750220""",ICHIBAN - ĐẬU HŨ TRỨNG ICHI - SAKURA 160G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936000750206,A156,"=""8936000750206""",ICHIBAN - ĐẬU HŨ TRẮNG ICHI - SAKURA 240G,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938532089007,A156,"=""8938532089007""",VĨ LÂM - CẢI SẬY CHUA 500G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938502525726,A156,"=""8938502525726""",THỌ PHÁT - BÁNH GIÒ NHÂN THỊT 150G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8935304205849,A156,"=""8935304205849""",O'FOOD - BÁNH GẠO CHẢ CÁ 340G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936146447305,A156,"=""8936146447305""",G - NEM CHUA BÌ ỚT XIÊM XANH 180G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8935101608515,A156,"=""8935101608515""",JONGGA - KIM CHI CỦ CẢI 450G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8938502525016,A156,"=""8938502525016""",THỌ PHÁT - BÁNH BAO NHÂN THỊT TRỨNG CÚT 250G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8936034876576,A156,"=""8936034876576""",MEAT DELI - CHẢ CHIÊN 300G,Meat,Fix weight,4,2,2,Đã tạo phiếu KFM (Lệch số lượng)
A156_8850393991865,A156,"=""8850393991865""",BETAGEN - SỮA CHUA UỐNG HƯƠNG CAM 85ML,Meat,Fix weight,16,8,8,Đã tạo phiếu KFM (Lệch số lượng)
A156_8850393800402,A156,"=""8850393800402""",BETAGEN - SỮA CHUA UỐNG ÍT ĐƯỜNG 85ML,Meat,Fix weight,24,12,12,Đã tạo phiếu KFM (Lệch số lượng)
A156_8934673300964,A156,"=""8934673300964""",VINAMILK - SCU GREEN FARM 200ML,Meat,Fix weight,8,4,4,Đã tạo phiếu KFM (Lệch số lượng)
